cluster,latitude,longitude,Cluster_Label
-1,41.9885448835,-87.89960702249999,-1.0
0,41.855001275,-87.665835787,0.0
1,41.977731976,-87.905108161,1.0
2,41.953900467,-87.907472601,2.0
3,41.989621528,-87.924969698,3.0
4,36.619446395,-91.686565684,4.0
-1,41.973172961,-87.867848461,
-1,41.950804059,-87.893398808,
-1,41.973172961,-87.867848461,
-1,42.006074109,-87.927364891,
-1,42.008849028,-87.907073187,
-1,42.006074109,-87.927364891,
-1,41.973168304,-87.868731082,
-1,42.007134716,-87.905815237,
-1,41.973533721,-87.866808789,
-1,42.008849028,-87.907073187,
-1,41.645075822,-87.574483491,
-1,42.006074109,-87.927364891,
-1,42.003556046,-87.90870897,
-1,42.007134716,-87.905815237,
-1,41.680585964,-87.575483131,
-1,41.973208449,-87.866450772,
