cluster,latitude,longitude,Cluster_Label
-1,41.801327904000004,-87.6981548185,-1.0
0,41.807176402500005,-87.723572168,0.0
1,41.803152803,-87.619526631,1.0
2,41.89413383,-87.717833038,2.0
3,41.6907325985,-87.6240031815,3.0
4,41.76533868,-87.65045392,4.0
5,41.928242611,-87.645785324,5.0
6,41.816111719,-87.599358122,6.0
7,41.710244702,-87.612618792,7.0
8,41.697297246,-87.634090051,8.0
9,41.712998122,-87.567866903,9.0
10,41.721763443,-87.625359863,10.0
11,41.99682993,-87.693954751,11.0
12,41.812320845,-87.632620641,12.0
13,41.83684379,-87.725557559,13.0
14,41.809674408,-87.594156219,14.0
15,41.754592961,-87.741528537,15.0
16,41.909307068,-87.80576669,16.0
17,41.994758989,-87.7133771835,17.0
18,41.772702417,-87.722499149,18.0
19,41.933182891,-87.806580645,19.0
20,42.014126194,-87.80660874750001,20.0
21,41.757195137,-87.567468028,21.0
22,41.893017369,-87.7617181025,22.0
23,42.010296306,-87.698186406,23.0
24,41.683938235,-87.721792427,24.0
25,41.656787031,-87.597440303,25.0
26,41.671354849,-87.64038395349999,26.0
27,41.736259984,-87.628068782,27.0
28,41.720367393,-87.536495173,28.0
29,41.859627103,-87.657410786,29.0
30,41.810729022,-87.601726053,30.0
31,41.830701415,-87.620211441,31.0
32,41.800464977,-87.72350236,32.0
33,41.909478456,-87.794924093,33.0
34,41.736911023,-87.740958098,34.0
35,41.913157898,-87.805911332,35.0
36,41.663960684,-87.634439644,36.0
37,41.821653743,-87.69302834,37.0
38,41.921653565,-87.659163579,38.0
39,42.0111868435,-87.690818628,39.0
40,41.820292257,-87.609889444,40.0
41,41.722354607,-87.584278449,41.0
42,41.778606548,-87.689828532,42.0
43,41.780328363,-87.718727796,43.0
44,42.018477925,-87.687740637,44.0
45,41.967663357000006,-87.77737933750001,45.0
46,41.930033359,-87.80576817900001,46.0
47,41.736881094,-87.54582512249999,47.0
48,41.69191448,-87.642362734,48.0
49,41.753204151,-87.73040747,49.0
50,41.961941057,-87.714520826,50.0
51,41.923646223,-87.792530495,51.0
52,41.720966729,-87.680206879,52.0
53,41.830373591,-87.67614650249999,53.0
54,41.777139254,-87.763030249,54.0
55,41.779196943,-87.611638576,55.0
56,41.72861474,-87.57429612,56.0
57,41.679034586,-87.645605699,57.0
58,41.777835813,-87.600396013,58.0
59,41.852192114,-87.680737842,59.0
60,41.72317662,-87.610545649,60.0
61,41.853853291,-87.63091491,61.0
62,41.778877155,-87.709289459,62.0
63,41.656683249,-87.61514940800001,63.0
64,41.718656553,-87.551939822,64.0
65,41.705677782,-87.600944364,65.0
66,41.809232338,-87.706438818,66.0
67,41.911097525,-87.662060308,67.0
