cluster,latitude,longitude,Cluster_Label
-1,41.846721794,-87.720166072,-1.0
0,41.857479936,-87.666333791,0.0
1,41.909307068,-87.80576669,1.0
2,42.011700513,-87.807335275,2.0
3,41.683937193999995,-87.72180159199999,3.0
4,41.655810212999995,-87.605131639,4.0
5,41.736259984,-87.628068782,5.0
6,41.70276133,-87.53648711400001,6.0
7,41.681430077,-87.70649217,7.0
8,41.987404624,-87.843494002,8.0
9,41.692596962,-87.702456072,9.0
10,41.6733961585,-87.6588476925,10.0
11,41.973172961,-87.867848461,11.0
12,41.705677782,-87.600944364,12.0
13,41.653221225,-87.545927188,13.0
14,41.976850769500004,-87.8403001045,14.0
15,41.977437325,-87.905227221,15.0
16,41.98287878,-87.791440835,16.0
17,42.0007680185,-87.81370258749999,17.0
18,41.953900467,-87.907472601,18.0
19,41.675256442,-87.601695694,19.0
20,41.899327779,-87.6479443155,20.0
21,41.869286713,-87.692302094,21.0
22,41.990751592,-87.748331787,22.0
23,41.987092981,-87.740728064,23.0
24,41.926231713,-87.633888347,24.0
25,41.922450893,-87.632206293,25.0
26,41.863196881,-87.614817819,26.0
27,41.811606934,-87.675174895,27.0
28,41.707138419,-87.554969167,28.0
29,41.831990039,-87.69486863,29.0
30,42.017910499,-87.809004411,30.0
31,41.980826277,-87.883611316,31.0
32,41.685773575,-87.6014903975,32.0
33,41.863739949,-87.676167707,33.0
34,41.740918989,-87.631967753,34.0
35,41.8309913325,-87.605659854,35.0
36,41.984292734,-87.802529306,36.0
37,41.709627492,-87.66961422,37.0
38,41.742710224,-87.634088181,38.0
39,41.7113778895,-87.600319915,39.0
40,41.743220259,-87.636731919,40.0
41,41.692493455,-87.598703055,41.0
42,41.707519433,-87.601839023,42.0
43,41.707756212,-87.580708771,43.0
44,41.651431329,-87.527258234,44.0
45,41.722097431,-87.601435606,45.0
46,41.970734599500005,-87.7952649395,46.0
47,42.004678619,-87.708285058,47.0
48,41.983997036999995,-87.759958171,48.0
49,41.985571594,-87.830818409,49.0
50,41.989211683,-87.92523928,50.0
51,41.648131674,-87.561901474,51.0
52,41.952814406,-87.790853527,52.0
53,41.996401688,-87.8147970385,53.0
54,41.984385337,-87.82061739849999,54.0
55,41.828194666,-87.659315849,55.0
56,41.65736912,-87.591933595,56.0
57,41.6788681135,-87.67538531650001,57.0
58,41.890724284,-87.642528399,58.0
59,41.850657231,-87.612880723,59.0
60,41.776400433,-87.570448042,60.0
61,41.823194923,-87.660513105,61.0
62,41.926488619,-87.631294073,62.0
63,41.982268173,-87.676583296,63.0
64,41.983030629,-87.882404127,64.0
65,41.755635034,-87.732393134,65.0
66,41.785836733,-87.7901153965,66.0
67,41.980435794,-87.886920464,67.0
68,41.791160785,-87.579836586,68.0
69,41.727867838,-87.676206148,69.0
70,41.993663579,-87.813665361,70.0
71,42.0119912,-87.786739357,71.0
72,42.010909853,-87.709143958,72.0
73,41.66614306,-87.540576095,73.0
74,41.790754583,-87.739927261,74.0
75,41.96492661,-87.639109387,75.0
76,41.866312328,-87.61012406,76.0
77,41.974861952,-87.890372151,77.0
78,41.719916536,-87.578237259,78.0
79,41.865664287,-87.760315496,79.0
80,41.847528336,-87.665950577,80.0
81,41.984622486,-87.836582104,81.0
82,41.68094392,-87.539651245,82.0
83,41.70600611,-87.71386264399999,83.0
84,41.964110513,-87.836690988,84.0
85,41.892164276,-87.607702294,85.0
86,41.705887536,-87.720214826,86.0
87,41.988630807,-87.812829371,87.0
88,41.715241725,-87.662050283,88.0
89,41.865000681,-87.617147205,89.0
90,41.758174759,-87.549934016,90.0
91,41.707786628,-87.58494565,91.0
92,41.993623303,-87.752467837,92.0
93,41.990159786,-87.726830225,93.0
94,42.012002472,-87.781581191,94.0
95,41.983325669500005,-87.732105645,95.0
96,42.008059027,-87.807784693,96.0
97,42.008798105,-87.812267612,97.0
98,41.987320188,-87.796337051,98.0
99,42.005308783,-87.773095781,99.0
100,41.956875902,-87.797554615,100.0
101,41.978459931,-87.910611317,101.0
102,36.619446395,-91.686565684,102.0
103,41.96735854,-87.643756572,103.0
