coordinates
"(-87.66633379, 41.85747994)"
"(-87.80576669, 41.90930707)"
"(-87.80733528, 42.01170051)"
"(-87.72180159, 41.68393719)"
"(-87.60513164, 41.65581021)"
"(-87.62806878, 41.73625998)"
"(-87.53648711, 41.70276133)"
"(-87.70649217, 41.68143008)"
"(-87.843494, 41.98740462)"
"(-87.70245607, 41.69259696)"
"(-87.65884769, 41.67339616)"
"(-87.86784846, 41.97317296)"
"(-87.60094436, 41.70567778)"
"(-87.54592719, 41.65322123)"
"(-87.8403001, 41.97685077)"
"(-87.90522722, 41.97743733)"
"(-87.79144084, 41.98287878)"
"(-87.81370259, 42.00076802)"
"(-87.9074726, 41.95390047)"
"(-87.60169569, 41.67525644)"
"(-87.64794432, 41.89932778)"
"(-87.69230209, 41.86928671)"
"(-87.74833179, 41.99075159)"
"(-87.74072806, 41.98709298)"
"(-87.63388835, 41.92623171)"
"(-87.63220629, 41.92245089)"
"(-87.61481782, 41.86319688)"
"(-87.6751749, 41.81160693)"
"(-87.55496917, 41.70713842)"
"(-87.69486863, 41.83199004)"
"(-87.80900441, 42.0179105)"
"(-87.88361132, 41.98082628)"
"(-87.6014904, 41.68577358)"
"(-87.67616771, 41.86373995)"
"(-87.63196775, 41.74091899)"
"(-87.60565985, 41.83099133)"
"(-87.80252931, 41.98429273)"
"(-87.66961422, 41.70962749)"
"(-87.63408818, 41.74271022)"
"(-87.60031992, 41.71137789)"
"(-87.63673192, 41.74322026)"
"(-87.59870306, 41.69249346)"
"(-87.60183902, 41.70751943)"
"(-87.58070877, 41.70775621)"
"(-87.52725823, 41.65143133)"
"(-87.60143561, 41.72209743)"
"(-87.79526494, 41.9707346)"
"(-87.70828506, 42.00467862)"
"(-87.75995817, 41.98399704)"
"(-87.83081841, 41.98557159)"
"(-87.92523928, 41.98921168)"
"(-87.56190147, 41.64813167)"
"(-87.79085353, 41.95281441)"
"(-87.81479704, 41.99640169)"
"(-87.8206174, 41.98438534)"
"(-87.65931585, 41.82819467)"
"(-87.5919336, 41.65736912)"
"(-87.67538532, 41.67886811)"
"(-87.6425284, 41.89072428)"
"(-87.61288072, 41.85065723)"
"(-87.57044804, 41.77640043)"
"(-87.66051311, 41.82319492)"
"(-87.63129407, 41.92648862)"
"(-87.6765833, 41.98226817)"
"(-87.88240413, 41.98303063)"
"(-87.73239313, 41.75563503)"
"(-87.7901154, 41.78583673)"
"(-87.88692046, 41.98043579)"
"(-87.57983659, 41.79116079)"
"(-87.67620615, 41.72786784)"
"(-87.81366536, 41.99366358)"
"(-87.78673936, 42.0119912)"
"(-87.70914396, 42.01090985)"
"(-87.5405761, 41.66614306)"
"(-87.73992726, 41.79075458)"
"(-87.63910939, 41.96492661)"
"(-87.61012406, 41.86631233)"
"(-87.89037215, 41.97486195)"
"(-87.57823726, 41.71991654)"
"(-87.7603155, 41.86566429)"
"(-87.66595058, 41.84752834)"
"(-87.8365821, 41.98462249)"
"(-87.53965125, 41.68094392)"
"(-87.71386264, 41.70600611)"
"(-87.83669099, 41.96411051)"
"(-87.60770229, 41.89216428)"
"(-87.72021483, 41.70588754)"
"(-87.81282937, 41.98863081)"
"(-87.66205028, 41.71524173)"
"(-87.61714721, 41.86500068)"
"(-87.54993402, 41.75817476)"
"(-87.58494565, 41.70778663)"
"(-87.75246784, 41.9936233)"
"(-87.72683023, 41.99015979)"
"(-87.78158119, 42.01200247)"
"(-87.73210565, 41.98332567)"
"(-87.80778469, 42.00805903)"
"(-87.81226761, 42.00879811)"
"(-87.79633705, 41.98732019)"
"(-87.77309578, 42.00530878)"
"(-87.79755462, 41.9568759)"
"(-87.91061132, 41.97845993)"
"(-91.68656568, 36.6194464)"
"(-87.64375657, 41.96735854)"
"(-87.84074586, 41.98698947)"
"(-87.8823291, 41.97594204)"
"(-87.65860319, 41.81394771)"
"(-87.70922266, 42.00925828)"
"(-87.75779677, 41.87101122)"
"(-87.59246461, 41.7128602)"
"(-87.72065968, 41.7001681)"
"(-87.60057228, 41.82577508)"
"(-87.79841608, 41.99268354)"
"(-87.73258099, 41.88976527)"
"(-87.54417395, 41.66942535)"
"(-87.61794662, 41.86113078)"
"(-87.81085809, 42.00433513)"
"(-87.61725209, 41.88060237)"
"(-87.76403866, 41.99733253)"
"(-87.74887689, 41.79293827)"
"(-87.7931821, 41.78597341)"
"(-87.5757008, 41.78141006)"
"(-87.69906717, 41.86014749)"
"(-87.8465398, 41.97144355)"
"(-87.58192542, 41.80352098)"
"(-87.81876925, 41.977831)"
"(-87.79976656, 41.77647079)"
"(-87.80482778, 41.96902565)"
"(-87.63502848, 41.9281651)"
"(-87.63550334, 41.83089004)"
"(-87.75752425, 41.99773899)"
"(-87.70928013, 42.00714283)"
"(-87.69383585, 41.7543182)"
"(-87.68526935, 41.84074812)"
"(-87.76274955, 41.98443842)"
"(-87.89941032, 41.97504466)"
"(-87.82286596, 41.97685887)"
"(-87.73836866, 41.98476458)"
"(-87.7074384, 41.70542073)"
"(-87.79434447, 41.98703894)"
"(-87.59019365, 41.8097631)"
"(-87.7447854, 41.8666395)"
"(-87.67294164, 41.70651996)"
"(-87.76379456, 42.00450396)"
"(-87.80036323, 41.91165725)"
"(-87.808345, 41.98991435)"
"(-87.70882807, 41.68231433)"
"(-87.82268186, 41.98931171)"
"(-87.76396463, 41.98678035)"
"(-87.81321022, 41.97528198)"
"(-87.63599645, 41.96074753)"
"(-87.64703069, 41.9750976)"
"(-87.74164313, 41.75767815)"
"(-87.83260463, 41.93806541)"
"(-87.88145547, 41.98715419)"
"(-87.59491422, 41.81648957)"
"(-87.78797363, 41.9706867)"
"(-87.65854509, 41.81144459)"
"(-87.72807262, 41.75167976)"
"(-87.6903333, 41.70902291)"
"(-87.77736931, 42.00891612)"
"(-87.62058759, 41.87289259)"
"(-87.81934816, 42.01037645)"
"(-87.70646559, 41.68416878)"
"(-87.743499, 41.82033716)"
"(-87.69020828, 41.84044931)"
"(-87.75461708, 41.86817415)"
"(-87.74107327, 41.99608752)"
"(-87.70127104, 41.90696275)"
"(-87.6502936, 41.82339064)"
"(-87.68935258, 41.88660837)"
"(-87.80030432, 41.90896279)"
"(-87.63320443, 41.93332684)"
"(-87.81776835, 42.0156647)"
"(-87.74419364, 41.95809636)"
"(-87.79985064, 41.99012863)"
"(-87.60810953, 41.83795422)"
"(-87.67719456, 41.78658787)"
"(-87.6380938, 41.94639157)"
"(-87.7006408, 42.01904318)"
"(-87.63769533, 41.96004983)"
"(-87.55935138, 41.68233362)"
"(-87.88495015, 41.9756349)"
"(-87.81526982, 41.98569292)"
"(-87.65287226, 41.67766176)"
"(-87.64255203, 41.96245015)"
"(-87.84490049, 41.98096302)"
"(-87.71692767, 41.70366193)"
"(-87.65582026, 41.81934207)"
"(-87.57938221, 41.77830083)"
"(-87.65529031, 41.81398583)"
"(-87.80224802, 41.91319864)"
"(-87.80592306, 41.97278306)"
"(-87.67321222, 41.72788882)"
"(-87.58593811, 41.66080079)"
"(-87.7618988, 41.99936811)"
"(-87.57868132, 41.66063921)"
"(-87.75206326, 41.77998764)"
"(-87.71468721, 41.68540164)"
"(-87.58879926, 41.66039234)"
"(-87.71907095, 41.7081758)"
"(-87.78155412, 42.00508058)"
"(-87.65862868, 41.84960413)"
"(-87.67541197, 41.83972084)"
"(-87.70792583, 41.68525523)"
"(-87.71107095, 41.68493288)"
"(-87.68991566, 41.69621552)"
"(-87.88122202, 41.98427734)"
"(-87.77545233, 42.00270835)"
"(-87.81778677, 41.99073233)"
"(-87.73705013, 41.85465663)"
"(-87.75059448, 41.86581021)"
"(-87.71089091, 41.69963358)"
"(-87.71245077, 41.68735751)"
"(-87.88429423, 41.9576365)"
"(-87.67548429, 41.70774688)"
