LOCATION
"(-87.623395345,41.8307016873)"
"(-87.643352139,41.9032416531)"
"(-87.65151201,41.9474004564)"
"(-87.692844509,41.9795495131)"
"(-87.668520393,41.6914347795)"
"(-87.671324292,41.9997634842)"
"(-87.76557447,41.9186088912)"
"(-87.62735617,41.8583725929)"
"(-87.630560180,41.8018110912)"
"(-87.605747860,41.7664308925)"
"(-87.568349122,41.7079332906)"
"(-87.604505866,41.6927233639)"
"(-87.644228906,41.7521368378)"
"(-87.660887017,41.7796315359)"
"(-87.708863815,41.778987189)"
"(-87.646407706,41.8373944311)"
"(-87.70838195,41.8566845327)"
"(-87.70548812,41.8735822883)"
"(-87.656972514,41.8629766244)"
"(-87.697451822,41.9211033246)"
"(-87.76819988,41.8800834614)"
"(-87.766148843,41.9740944511)"
"(-87.72811456,41.9660534171)"
