Date,coordinates
3/3/12,"(41.794051584, -87.762347332)"
3/3/12,"(41.795866297, -87.769720805)"
12/1/12,"(41.673869466, -87.617692404)"
8/1/12,"(41.767494193, -87.671172189)"
7/4/12,"(41.712272495, -87.612681122)"
12/8/12,"(41.924492457, -87.726107642)"
5/5/12,"(41.810509719, -87.607821275)"
11/5/12,"(41.809059884, -87.635138753)"
11/12/12,"(41.836954705, -87.72010301)"
1/4/12,"(41.73298281, -87.605983251)"
1/8/12,"(41.940251326, -87.649275328)"
1/9/12,"(41.809669669, -87.594427666)"
1/10/12,"(41.734724236, -87.6114483)"
1/10/12,"(41.754592961, -87.741528537)"
1/12/12,"(41.909307068, -87.80576669)"
1/12/12,"(41.993108988, -87.711800961)"
2/1/12,"(42.014071312, -87.8066092)"
2/4/12,"(41.75103437, -87.55037632)"
2/10/12,"(41.783424615, -87.7093753)"
2/9/12,"(41.880237054, -87.74526923)"
2/10/12,"(41.909307068, -87.80576669)"
2/10/12,"(41.898008153, -87.726163929)"
2/12/12,"(41.877556996, -87.75575519)"
3/5/12,"(41.909246669, -87.776130886)"
3/5/12,"(41.670527412, -87.64245008)"
3/7/12,"(41.935389157, -87.65260562)"
3/8/12,"(41.87827934, -87.71476926)"
3/4/12,"(41.934960343, -87.647872803)"
3/12/12,"(41.995595658, -87.670192458)"
4/3/12,"(41.810729022, -87.601726053)"
4/9/12,"(41.889451311, -87.64121997)"
4/9/12,"(41.680562599, -87.705940498)"
1/6/12,"(41.903141995, -87.63077557)"
2/8/12,"(41.865738389, -87.755387983)"
4/12/12,"(41.987404624, -87.843494002)"
4/9/12,"(41.937236424, -87.650825475)"
5/3/12,"(41.735434763, -87.740968012)"
5/6/12,"(41.683661667, -87.62529009)"
5/7/12,"(41.885882002, -87.66077741)"
5/11/12,"(41.696142182, -87.705935572)"
6/3/12,"(41.816888086, -87.600148216)"
6/4/12,"(41.82099135, -87.695920761)"
6/4/12,"(41.921648023, -87.65991324)"
6/5/12,"(41.772225242, -87.742085013)"
6/9/12,"(41.854998937, -87.72695264)"
6/4/12,"(41.98734814, -87.843119252)"
7/4/12,"(41.8032982, -87.653195042)"
7/6/12,"(42.00885123, -87.69016688)"
7/5/12,"(41.814513943, -87.608307995)"
7/7/12,"(41.809669669, -87.594427666)"
7/6/12,"(41.881026177, -87.72813142)"
7/11/12,"(41.826467, -87.625307465)"
7/11/12,"(41.909224529, -87.777791622)"
8/1/12,"(41.78235238, -87.719197279)"
8/5/12,"(41.938225604, -87.79158381)"
8/3/12,"(42.01856299, -87.687739555)"
8/7/12,"(41.896922593, -87.62570147)"
9/2/12,"(41.76834807, -87.646925739)"
9/2/12,"(41.946217055, -87.655721542)"
9/3/12,"(41.909307068, -87.80576669)"
9/2/12,"(41.841947905, -87.72448859)"
9/6/12,"(41.69235452, -87.642681558)"
9/7/12,"(41.884434972, -87.774796793)"
9/7/12,"(41.916434028, -87.75236256)"
9/9/12,"(41.896671452, -87.628594922)"
9/8/12,"(41.77348517, -87.573221086)"
10/1/12,"(41.939632086, -87.644386176)"
10/1/12,"(41.7772115, -87.698847492)"
10/3/12,"(41.880982172, -87.774687321)"
10/4/12,"(41.799615294, -87.787398313)"
10/4/12,"(41.766109192, -87.57290861)"
10/5/12,"(41.95028505, -87.707140428)"
10/10/12,"(41.923613437, -87.793511665)"
11/1/12,"(41.784254117, -87.65340735)"
11/2/12,"(41.730028217, -87.55503867)"
11/4/12,"(41.787940699, -87.801358013)"
11/8/12,"(41.909307068, -87.80576669)"
11/11/12,"(41.89335243, -87.649265465)"
11/8/12,"(41.73899149, -87.642676722)"
11/11/12,"(41.943660199, -87.64661074)"
11/12/12,"(41.720480471, -87.682050624)"
11/9/12,"(41.888676095, -87.636913058)"
12/1/12,"(41.67735015, -87.671412516)"
12/1/12,"(42.018264962, -87.67584503)"
12/8/12,"(41.909307068, -87.80576669)"
12/11/12,"(42.019399237, -87.675049485)"
12/11/12,"(41.973172961, -87.867848461)"
6/11/12,"(41.802522678, -87.643715019)"
3/6/12,"(41.776238566, -87.603401333)"
7/5/12,"(41.812205522, -87.66903552)"
1/5/12,"(42.001682746, -87.67313138)"
8/2/12,"(41.892397765, -87.722323899)"
9/2/12,"(41.727201167, -87.57425781)"
3/2/12,"(41.679034586, -87.645606079)"
12/9/12,"(41.868230139, -87.774229289)"
10/11/12,"(41.735680362, -87.608572465)"
8/2/12,"(41.897672568, -87.751996366)"
2/1/12,"(41.854931054, -87.704129154)"
11/3/12,"(41.71861319, -87.552399964)"
6/12/12,"(41.822645182, -87.628585455)"
1/3/12,"(41.900017263, -87.726225708)"
8/6/12,"(41.868219921, -87.664046556)"
5/7/12,"(41.705677782, -87.600944364)"
4/7/12,"(41.809196644, -87.706429259)"
4/5/12,"(42.005832909, -87.669964736)"
8/5/12,"(41.793969887, -87.624070018)"
5/3/12,"(41.729657469, -87.653155429)"
6/2/12,"(41.86609917, -87.659916448)"
9/4/12,"(41.795630427, -87.624110386)"
5/12/12,"(41.778384336, -87.604656531)"
1/2/12,"(41.968479866, -87.705259739)"
11/7/12,"(41.750030916, -87.683445092)"
5/9/12,"(41.69712792, -87.624369795)"
8/9/12,"(41.789537904, -87.668114522)"
4/7/12,"(41.871563129, -87.698488032)"
4/1/12,"(41.843464822, -87.730606778)"
12/2/12,"(41.773809509, -87.588805144)"
7/12/12,"(41.787755043, -87.692414612)"
1/11/12,"(41.74061243, -87.646180582)"
6/6/12,"(41.657912296, -87.60132113)"
1/10/12,"(41.870228606, -87.7479237)"
7/2/12,"(41.877931689, -87.729368696)"
9/8/12,"(41.791797974, -87.697955586)"
3/10/12,"(41.910754075, -87.710087618)"
1/7/12,"(41.791565336, -87.663289748)"
7/6/12,"(41.701468915, -87.606276251)"
7/4/12,"(41.771041494, -87.621430294)"
6/8/12,"(41.800821127, -87.653830052)"
6/9/12,"(41.770479797, -87.620245111)"
5/10/12,"(41.796248249, -87.676798979)"
7/1/12,"(41.875893078, -87.704386239)"
8/2/12,"(41.892397765, -87.722323899)"
3/10/12,"(41.793632334, -87.619196435)"
2/10/12,"(41.902319697, -87.687009075)"
5/4/12,"(41.673291386, -87.642976891)"
7/10/12,"(41.893693999, -87.667222147)"
2/11/12,"(41.849993569, -87.702026705)"
10/12/12,"(41.771068348, -87.583799955)"
11/4/12,"(41.931491671, -87.749668109)"
9/6/12,"(41.917449945, -87.748686457)"
5/5/12,"(41.984307605, -87.660088247)"
1/6/12,"(41.879629789, -87.736605042)"
3/2/12,"(41.892860415, -87.770984454)"
3/6/12,"(41.945088611, -87.64501481)"
7/5/12,"(41.912357382, -87.747215593)"
10/5/12,"(41.722503153, -87.572635409)"
12/12/12,"(41.899122381, -87.753250466)"
7/4/12,"(41.912639024, -87.726418399)"
2/2/12,"(41.786875732, -87.617405044)"
8/5/12,"(41.761672394, -87.567646282)"
4/7/12,"(41.697958905, -87.630984694)"
6/2/12,"(41.762694638, -87.561289359)"
6/11/12,"(41.725300675, -87.604556978)"
7/1/12,"(41.734897624, -87.552759624)"
9/2/12,"(41.961760892, -87.655828955)"
10/1/12,"(41.686238944, -87.628919212)"
1/2/12,"(41.699577165, -87.608304224)"
7/11/12,"(41.993558695, -87.655495503)"
3/9/12,"(41.888179258, -87.757796948)"
8/6/12,"(41.704262023, -87.656960706)"
7/2/12,"(41.875196386, -87.731072469)"
11/7/12,"(41.857130937, -87.651542065)"
8/3/12,"(41.920386159, -87.713605835)"
6/5/12,"(41.770577612, -87.616999766)"
1/9/12,"(41.789497268, -87.672962604)"
5/3/12,"(41.911952129, -87.771551691)"
4/7/12,"(41.819671764, -87.701957751)"
12/1/12,"(41.885733129, -87.746214056)"
11/12/12,"(41.687866743, -87.632577234)"
8/9/12,"(41.770252762, -87.618598009)"
3/12/12,"(41.751329969, -87.601030331)"
10/9/12,"(41.787587214, -87.652275757)"
6/10/12,"(41.757931061, -87.602919789)"
5/11/12,"(41.841795224, -87.709839783)"
7/4/12,"(41.752192862, -87.662339743)"
9/12/12,"(41.792444765, -87.62240731)"
10/12/12,"(41.764881306, -87.635870858)"
4/9/12,"(41.949722481, -87.750935505)"
5/10/12,"(41.947446464, -87.668868434)"
1/8/12,"(41.769185486, -87.625732415)"
2/6/12,"(41.773624208, -87.694795243)"
5/4/12,"(41.851442887, -87.731746808)"
6/2/12,"(41.901525076, -87.727497088)"
8/9/12,"(41.779276522, -87.615601416)"
1/7/12,"(41.93999607, -87.727949036)"
7/5/12,"(41.80685705, -87.659165427)"
10/9/12,"(41.976282242, -87.841541839)"
9/2/12,"(42.018517536, -87.681638499)"
7/1/12,"(41.875227829, -87.72870018)"
2/11/12,"(41.884770936, -87.758899868)"
1/9/12,"(41.854333427, -87.723578285)"
7/3/12,"(41.877931689, -87.729368696)"
8/4/12,"(41.893501985, -87.632651542)"
3/12/12,"(41.81791667, -87.62144331)"
3/4/12,"(41.852019321, -87.670928787)"
8/1/12,"(41.900449563, -87.752503802)"
10/6/12,"(41.813312219, -87.666324236)"
7/10/12,"(41.794672085, -87.623570871)"
1/8/12,"(41.849546197, -87.701517256)"
3/2/12,"(41.793839941, -87.620367621)"
7/1/12,"(41.813183063, -87.60571854)"
3/12/12,"(41.850134482, -87.675785789)"
11/1/12,"(41.79037523, -87.617490782)"
6/11/12,"(41.864276948, -87.659909872)"
3/8/12,"(41.768243533, -87.689056789)"
9/5/12,"(41.931469202, -87.786925903)"
1/2/12,"(41.773189519, -87.671329907)"
5/8/12,"(41.88334197, -87.727544035)"
9/4/12,"(41.796214692, -87.718338829)"
4/6/12,"(41.747635376, -87.604363064)"
5/12/12,"(41.750332165, -87.665155275)"
6/10/12,"(41.781989896, -87.688600214)"
12/1/12,"(41.827288113, -87.632111875)"
4/9/12,"(41.889951856, -87.716529717)"
1/9/12,"(41.92146429, -87.752379397)"
5/3/12,"(41.830132402, -87.639999033)"
1/5/12,"(41.879294275, -87.741238618)"
9/5/12,"(41.747078826, -87.601426771)"
11/8/12,"(41.742723745, -87.68848018)"
11/10/12,"(41.751824605, -87.559268417)"
8/9/12,"(41.741271378, -87.731358205)"
5/6/12,"(41.865194117, -87.660010385)"
10/8/12,"(41.760090211, -87.590836687)"
8/5/12,"(41.970903661, -87.70487923)"
12/9/12,"(41.90131451, -87.725041634)"
2/8/12,"(41.786873855, -87.655550394)"
10/10/12,"(41.744666278, -87.55098869)"
6/11/12,"(41.802522678, -87.643715019)"
4/12/12,"(41.685120177, -87.638991784)"
1/7/12,"(41.897299216, -87.767907874)"
8/1/12,"(41.872040755, -87.719716357)"
5/3/12,"(41.729657469, -87.653155429)"
3/1/12,"(41.709320072, -87.566945747)"
3/6/12,"(41.751036939, -87.550350636)"
12/1/12,"(41.865409818, -87.706856955)"
8/8/12,"(41.792884953, -87.62347324)"
7/5/12,"(41.805149849, -87.718807226)"
2/12/12,"(41.854342414, -87.717547369)"
11/3/12,"(41.791583362, -87.634081651)"
6/4/12,"(41.764151886, -87.683229302)"
8/2/12,"(41.690000986, -87.605940419)"
6/11/12,"(41.778638623, -87.688512796)"
5/8/12,"(41.810610708, -87.593536505)"
1/9/12,"(41.78969544, -87.648685524)"
1/4/12,"(41.764671452, -87.684844209)"
7/11/12,"(41.908430535, -87.638509526)"
7/3/12,"(41.752258758, -87.600360112)"
1/11/12,"(41.948707142, -87.646666855)"
9/4/12,"(41.767795848, -87.632279919)"
5/12/12,"(41.781556777, -87.612056189)"
1/10/12,"(41.988083216, -87.656752717)"
5/10/12,"(41.796248249, -87.676798979)"
4/5/12,"(41.776763642, -87.695775971)"
1/2/12,"(41.75356945, -87.56450286)"
7/11/12,"(41.996422338, -87.691064585)"
6/8/12,"(41.800821127, -87.653830052)"
6/9/12,"(41.692538396, -87.626880654)"
